PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
36074 yugm2     20   0   84512   4600   3912 S   0.0   0.0   0:00.00 wrk
36074 yugm2     20   0   84512   4600   3912 S   0.0   0.0   0:00.00 wrk
36074 yugm2     20   0   84512   4600   3912 S   0.0   0.0   0:00.00 wrk
36074 yugm2     20   0   84512   4600   3912 S   0.0   0.0   0:00.00 wrk
36074 yugm2     20   0   84512   4600   3912 S   0.0   0.0   0:00.00 wrk
36074 yugm2     20   0   84512   4600   3912 S   0.0   0.0   0:00.00 wrk
36074 yugm2     20   0   84512   4600   3912 S   0.0   0.0   0:00.00 wrk
36074 yugm2     20   0   84512   4600   3912 S   0.0   0.0   0:00.00 wrk
36074 yugm2     20   0   84512   4600   3912 S   0.0   0.0   0:00.00 wrk
36074 yugm2     20   0   84512   5040   3912 S   0.0   0.0   0:00.00 wrk
36074 yugm2     20   0   84512   5040   3912 S   0.0   0.0   0:00.00 wrk
36074 yugm2     20   0   84512   5040   3912 S   0.0   0.0   0:00.00 wrk
36074 yugm2     20   0   84512   5040   3912 S   0.0   0.0   0:00.00 wrk
36074 yugm2     20   0   84512   5040   3912 S   0.0   0.0   0:00.00 wrk
36074 yugm2     20   0   84512   5040   3912 S   0.0   0.0   0:00.00 wrk
36074 yugm2     20   0   84512   5040   3912 S   5.9   0.0   0:00.01 wrk
36074 yugm2     20   0   84512   5040   3912 S   0.0   0.0   0:00.01 wrk
36074 yugm2     20   0   84512   5040   3912 S   0.0   0.0   0:00.01 wrk
36074 yugm2     20   0   84512   5040   3912 S   0.0   0.0   0:00.01 wrk
36074 yugm2     20   0   84512   5040   3912 S   0.0   0.0   0:00.01 wrk
36074 yugm2     20   0   84512   5040   3912 S   0.0   0.0   0:00.01 wrk
36074 yugm2     20   0   84512   5040   3912 S   0.0   0.0   0:00.01 wrk
36074 yugm2     20   0   84512   5040   3912 S   0.0   0.0   0:00.01 wrk
36074 yugm2     20   0   84512   5040   3912 S   0.0   0.0   0:00.01 wrk
36074 yugm2     20   0   84512   5040   3912 S   0.0   0.0   0:00.01 wrk
36074 yugm2     20   0   84512   5040   3912 S   0.0   0.0   0:00.01 wrk
36074 yugm2     20   0   84512   5040   3912 S   0.0   0.0   0:00.01 wrk
36074 yugm2     20   0   84512   5040   3912 S   0.0   0.0   0:00.01 wrk
36074 yugm2     20   0   84512   5040   3912 S   0.0   0.0   0:00.01 wrk
36074 yugm2     20   0   84512   5040   3912 S   0.0   0.0   0:00.01 wrk
36074 yugm2     20   0   84512   5040   3912 S   0.0   0.0   0:00.01 wrk
36074 yugm2     20   0   84512   5040   3912 S   0.0   0.0   0:00.01 wrk
36074 yugm2     20   0   84512   5040   3912 S   0.0   0.0   0:00.01 wrk
36074 yugm2     20   0   84512   5040   3912 S   0.0   0.0   0:00.02 wrk
36074 yugm2     20   0   84512   5040   3912 S   0.0   0.0   0:00.02 wrk
36074 yugm2     20   0   84512   5040   3912 S   0.0   0.0   0:00.02 wrk
36074 yugm2     20   0   84512   5040   3912 S   0.0   0.0   0:00.02 wrk
36074 yugm2     20   0   84512   5040   3912 S   0.0   0.0   0:00.03 wrk
36074 yugm2     20   0   84512   5040   3912 S   0.0   0.0   0:00.03 wrk
36074 yugm2     20   0   84512   5040   3912 S   0.0   0.0   0:00.03 wrk
36074 yugm2     20   0   84512   5040   3912 S   0.0   0.0   0:00.03 wrk
36074 yugm2     20   0   84512   5040   3912 S   0.0   0.0   0:00.03 wrk
36074 yugm2     20   0   84512   5040   3912 S   0.0   0.0   0:00.03 wrk
36074 yugm2     20   0   84512   5040   3912 S   0.0   0.0   0:00.03 wrk
36074 yugm2     20   0   84512   5040   3912 S   0.0   0.0   0:00.03 wrk
36074 yugm2     20   0   84512   5040   3912 S   0.0   0.0   0:00.03 wrk
36074 yugm2     20   0   84512   5040   3912 S   0.0   0.0   0:00.03 wrk
36074 yugm2     20   0   84512   5040   3912 S   0.0   0.0   0:00.03 wrk
36074 yugm2     20   0   84512   5040   3912 S   0.0   0.0   0:00.03 wrk
36074 yugm2     20   0   84512   5040   3912 S   0.0   0.0   0:00.03 wrk
